min_timestamp,tag_grouping,opportunity_uuid,message,direction,application_date_c,bgc_conversion_7d,full_conversion,task_row_count,total_task_count,bucket
2025-05-09 16:29:40.000000 UTC,AnD AI,0052f250-12fb-4474-8886-f9c1f1afbb9d,"That's awesome, Ameera! I'm really excited for you to start earning with DoorDash. Now would be a great time to get out there and get started. Do you have a few minutes to give it a try today?",Outbound,2025-05-04,True,,1,3,TSI-WN-001
2025-05-09 16:29:40.000000 UTC,AnD AI,0052f250-12fb-4474-8886-f9c1f1afbb9d,"Hey Ameera, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",Outbound,2025-05-04,True,,2,3,TSI-WN-001
2025-05-09 16:29:40.000000 UTC,AnD AI,0052f250-12fb-4474-8886-f9c1f1afbb9d,No,Inbound,2025-05-04,True,,3,3,TSI-WN-001
2025-02-21 17:24:24.000000 UTC,AnD AI,0105dbc0-8fd1-4e3d-8df4-15eb2f4522d2,"Hey Chynna, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",Outbound,2025-02-12,False,,1,3,TSI-WN-001
2025-02-21 17:24:24.000000 UTC,AnD AI,0105dbc0-8fd1-4e3d-8df4-15eb2f4522d2,"Hi Chynna, you're all set to start delivering with DoorDash. Open the app and start earning today! Reply 'STOP' to opt out",Outbound,2025-02-12,False,,2,3,TSI-WN-001
2025-02-21 17:24:24.000000 UTC,AnD AI,0105dbc0-8fd1-4e3d-8df4-15eb2f4522d2,"Hi Chynna, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Outbound,2025-02-12,False,,3,3,TSI-WN-001
2025-05-14 16:31:52.000000 UTC,AnD AI,01430f99-0566-4055-9c6e-2377e9c612f1,"No worries, Adam! You actually don't need the insulated bags to start dashing. You can begin accepting orders right away and get familiar with the app. Plus, you'll start earning even before your kit arrives! Want to give it a try today?",Outbound,2025-05-09,True,True,1,3,TSI-WN-001
2025-05-14 16:31:52.000000 UTC,AnD AI,01430f99-0566-4055-9c6e-2377e9c612f1,Waiting on insulated bags to be delivered,Inbound,2025-05-09,True,True,2,3,TSI-WN-001
2025-05-14 16:31:52.000000 UTC,AnD AI,01430f99-0566-4055-9c6e-2377e9c612f1,"Hey Adam, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",Outbound,2025-05-09,True,True,3,3,TSI-WN-001
2025-05-06 18:22:50.000000 UTC,AnD AI,01d2f577-72ae-459b-bb5e-af0d0a5702ac,I'm just scared and nervous,Inbound,2025-05-01,True,True,1,5,TSI-WN-001
2025-05-06 18:22:50.000000 UTC,AnD AI,01d2f577-72ae-459b-bb5e-af0d0a5702ac,"Hey Maria, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",Outbound,2025-05-01,True,True,2,5,TSI-WN-001
2025-05-06 18:22:50.000000 UTC,AnD AI,01d2f577-72ae-459b-bb5e-af0d0a5702ac,"It's completely normal to feel that way at first! The great thing about DoorDash is that you can dash whenever it fits into your schedule, even if it's just for a short time. Many Dashers find it easy to work around their busy lives. Do you think you might have a little time this week to give it a try and see how it feels?",Outbound,2025-05-01,True,True,3,5,TSI-WN-001
2025-05-06 18:22:50.000000 UTC,AnD AI,01d2f577-72ae-459b-bb5e-af0d0a5702ac,"That's awesome, Maria! Thank you for your service. It's completely normal to feel nervous, but many service members find dashing on weekends a great way to earn extra while off duty. Even a few sessions can add up quickly. Are you planning to try it out this weekend and see how it goes?",Outbound,2025-05-01,True,True,4,5,TSI-WN-001
2025-05-06 18:22:50.000000 UTC,AnD AI,01d2f577-72ae-459b-bb5e-af0d0a5702ac,Yes I'm able to this weekend,Inbound,2025-05-01,True,True,5,5,TSI-WN-001
